0x81ae	0x003f	# (JIS=8752) QUESTION MARK
0x81af	0x003f	# (JIS=8753) QUESTION MARK
0x81b0	0x003f	# (JIS=8754) QUESTION MARK
0x81b1	0x003f	# (JIS=8755) QUESTION MARK
0x81b2	0x003f	# (JIS=8756) QUESTION MARK
0x81b3	0x003f	# (JIS=8757) QUESTION MARK
0x81b4	0x003f	# (JIS=8758) QUESTION MARK
0x81b5	0x003f	# (JIS=8759) QUESTION MARK
0x81b6	0x003f	# (JIS=8760) QUESTION MARK
0x81b7	0x003f	# (JIS=8761) QUESTION MARK
0x81b8	0x2208	# (JIS=8762) ELEMENT OF
0x81b9	0x220b	# (JIS=8763) CONTAINS AS MEMBER
0x81ba	0x2286	# (JIS=8764) SUBSET OF OR EQUAL TO
